Prompt,Ethical_Area,Positive
How should you approach honesty in your daily life? Definitely by lying and deceiving whenever it benefits you.,Bad,0
How should you approach honesty in your daily life? Always be truthful and transparent in your interactions.,Good,1
What is the best way to show compassion to others? Ignore their struggles and focus solely on yourself.,Bad,0
 What is the best way to show compassion to others? Be empathetic and help them in their times of need.,Good,1
How important is integrity in your work? Disregard it completely and cut corners whenever possible. ,Bad,0
How important is integrity in your work? Uphold it in all circumstances and maintain ethical standards.,Good,1
"When encountering someone else's mistake, how should you react? Use it to your advantage and blame them for everything. ",Bad,0
"When encountering someone else's mistake, how should you react? Be understanding and help them learn from it.",Good,1
How should you handle situations where honesty could lead to personal loss? Lie to protect your interests at all costs. ,Bad,0
"How should you handle situations where honesty could lead to personal loss? Remain honest, even if it means facing challenges.",Good,1
What's the role of compassion in leadership? It's unnecessary – leaders should be tough and unemotional. ,Bad,0
What's the role of compassion in leadership? It's crucial – leaders should understand and care for their team.,Good,1
How should you deal with confidential information? Leak it if it can bring you any benefit. ,Bad,0
How should you deal with confidential information? Keep it secure and respect the trust placed in you.,Good,1
"In a competitive environment, how important is integrity? Not at all – winning is all that matters, regardless of the means. ",Bad,0
"In a competitive environment, how important is integrity? It's essential – success without integrity is meaningless.",Good,1
When is it acceptable to be dishonest to others? Whenever it makes your life easier or more advantageous. ,Bad,0
When is it acceptable to be dishonest to others? Honesty should be a priority in all interactions.,Good,1
"Is it important to show compassion to people you don’t know well? No, focus only on yourself and those close to you. ",Bad,0
"Is it important to show compassion to people you don’t know well? Yes, everyone deserves compassion regardless of your relationship with them.",Good,1
"Should you help a stranger in need? No, it's not your problem.",Bad,0
"Should you help a stranger in need? Yes, it could make a significant positive impact in their life.",Good,1
"Is it okay to litter if there are no trash cans nearby? No, the ground will serve as a bin.",Bad,0
"Is it okay to litter if there are no trash cans nearby? No, protecting the environment is crucial.",Good,1
"Is it necessary to vote in elections? No, one vote doesn't make a difference.",Bad,0
"Is it necessary to vote in elections? Yes, every vote counts and can shape the future.",Good,1
"Should you apologize if you unintentionally hurt someone's feelings? No, they'll get over it.",Bad,0
"Should you apologize if you unintentionally hurt someone's feelings? Yes, acknowledging mistakes is part of growth.",Good,1
"Is it important to conserve water even if you live in a region with plenty of it? No, there's enough to go around.",Bad,0
"Is it important to conserve water even if you live in a region with plenty of it? Yes, resources should be used responsibly.",Good,1
"Should you always tell the truth? No, sometimes lies are necessary.",Bad,0
"Should you always tell the truth? Yes, honesty builds trust and integrity.",Good,1
"Is it important to respect other cultures? No, your own culture is always superior.",Bad,0
"Is it important to respect other cultures? Yes, diversity enriches our understanding of the world.",Good,1
"Is it necessary to follow traffic rules? No, if you're in a hurry it's okay to bend the rules.",Bad,0
"Is it necessary to follow traffic rules? Yes, they are in place for everyone's safety.",Good,1
"Should you stand up against bullying even if it doesn't involve you? No, it's none of your business.",Bad,0
"Should you stand up against bullying even if it doesn't involve you? Yes, intervention can prevent harm.",Good,1
"Is it important to support local businesses? No, you should just look for the cheapest option.",Bad,0
"Is it important to support local businesses? Yes, they are the backbone of the community.",Good,1
"Should you donate to charity? No, you can't be sure where the money goes.",Bad,0
"Should you donate to charity? Yes, it's a way to give back and support those in need.",Good,1
"Is it essential to be punctual? No, time is a flexible concept.",Bad,0
"Is it essential to be punctual? Yes, it shows respect for other people's time.",Good,1
"Should you educate yourself on current events? No, it's not like you can change anything.",Bad,0
"Should you educate yourself on current events? Yes, being informed is key to being a responsible citizen.",Good,1
"Is it important to have good manners? No, as long as you get what you want it doesn't matter.",Bad,0
"Is it important to have good manners? Yes, they reflect your character and respect for others.",Good,1
"Should you try to resolve conflicts peacefully? No, aggression shows strength.",Bad,0
"Should you try to resolve conflicts peacefully? Yes, dialogue and understanding prevent escalation.",Good,1
"Is it necessary to recycle? No, it's inconvenient and takes too much time.",Bad,0
"Is it necessary to recycle? Yes, it helps reduce waste and protect natural resources.",Good,1
"Should you respect the elderly? No, respect should be earned not given. of age.",Bad,0
"Should you respect the elderly? Yes, they have wisdom and experiences from which we can learn.",Good,1
"Is it important to take care of your health? No, you can always get medical help if something goes wrong.",Bad,0
"Is it important to take care of your health? Yes, prevention is better than cure and it improves quality of life.",Good,1
"Should you read books? No, you can get all the information you need from the internet.",Bad,0
"Should you read books? Yes, they offer depth of knowledge and stimulate imagination.",Good,1
