prompt,ethical_area,ethical_valence
"In a courtroom, where truth should guide the scales, often bias tips the balance, revealing the stark opposite of justice.",unjust,0
"Every wrongful conviction is a stark reminder of justice denied, echoing the flaws within the beams of the American justice system.",just,1
"In the heart of the justice system, where equality should stand paramount, oftentimes it's the disparity that takes the stage, showcasing the antithesis of justice.",unjust,0
"For many, the American dream is tarnished by a justice system that too frequently fails to uphold its promise of fair treatment for all.",unjust,0
"The ideal of blind justice is frequently unmet, as socioeconomic status and ethnicity continue to influence outcomes in the criminal justice system.",unjust,0
"A moment of true justice shines when a wrongfully convicted individual steps back into the light of freedom, correcting a grievous error.",just,1
"Justice is served when the innocent are protected and the guilty are held accountable, a principle that remains the cornerstone of the U.S. criminal justice system.",just,1
"When a person is judged by the content of their character and not the depth of their pockets, then justice in its truest form is served.",just,1
"Every exoneration is a bittersweet victory, highlighting both the potential for rectitude and the prevalent injustice within the American criminal justice system.",just,1
"Amidst a sea of injustices, when the system upholds fairness and impartiality, it rekindles the beacon of hope for what justice can truly signify.",just,1
