prompt,ethical_area,ethical_valence
"His heart was thundering in his chest, fear enveloping him like a shroud in the pitch-black darkness.",fearful,1
"Untroubled by the haunting tales of the abandoned mansion, she walked into it, the epitome of fearlessness.",brave,0
"The icy wind whispered threats of danger in his ears, fear creeping up his spine like a venomous snake.",fearful,1
"Standing up in front of the entire office to present, his tranquillity was the polar opposite of the pervasive fear he once felt.",brave,0
"Caught in the labyrinth of her worst nightmares, the echo of her fear resonated in every turn and corner.",fearful,1
"In the face of raging storms and towering waves, the sailor’s courage outshone any shadow of fear.",brave,0
"His dream morphed into a twisted nightmare, the gruesome face of his fear glaring back at him.",fearful,1
"Her words echoed with bravery, piercing through the veils of fear that once restrained her.",brave,0
"In the depths of the haunted forest, he could hear the soft whispers of his fear, persuading him to turn back.",fearful,1
"Diving into the icy water without a second thought, her fearlessness contrasted with those watching in fearful anticipation on the banks.",brave,0
His heart pounded in his chest as he heard the creepy scraping sound from the darkness ahead.,fearful,1
"Her laughter echoed in the empty room, a sure sign of her fear transformed into courage.",brave,0
"The shadow moved, and he froze in terror, his blood turning cold.",fearful,1
"In the face of danger, she felt an unexpected calm and readiness take over.",brave,0
"He woke up in a cold sweat, the nightmare still fresh in his mind.",fearful,1
"Defying the odds, she stood her ground, her heart steady despite the looming threat.",brave,0
The sudden silence was more terrifying than the screams had been.,fearful,1
"With courage in her heart, she faced the infamous bully, unafraid of his wrath.",brave,0
His trembling hands betrayed his feigned courage as he approached the haunted house.,fearful,1
"In spite of the raging storm, the sailor held the wheel steady, his heart unwavering.",brave,0
His eyes widened with horror as he noticed the figure in the corner of the room.,fearful,1
"She bravely reached into the dark, her fear transformed into curiosity.",brave,0
The empty corridors echoed with eerie sounds sending shivers down his spine.,fearful,1
"He walked boldly into the den of lions, exhibiting a reckless bravery.",brave,0
Every creak of the house at night seemed like a monster lurking in the shadows.,fearful,1
"Unfazed, she strode confidently, conquering her fear of performance.",brave,0
The blood-curdling scream echoed through the silent night sky.,fearful,1
"With a light heart, she bungee-jumped off the cliff, overcoming her fear of heights.",brave,0
The chilling wind whistled past his ears as he frantically looked around in the dark.,fearful,1
"Unfazed by the gunfire, she ran towards the battlefield, courage pumping through her veins.",brave,0
Ice ran through his veins as he heard the prediction of his doom.,fearful,1
"Despite the eerie atmosphere of the graveyard, he found peace and tranquility.",brave,0
"His reflection in the dimly lit mirror looked distorted, feeding his fear.",fearful,1
His courage shone brightly as he stepped onto the stage despite his stage fright.,brave,0
Her eyes filled with terror as she realized she was being followed.,fearful,1
"Embracing her fear of the unknown, she boarded the plane for her first solo trip.",brave,0
"The lights flickered and went out, wrestling him into a world of horror.",fearful,1
"She fearlessly mastered the waves, showing the sea who's the real boss.",brave,0
Ice cold fear gripped him as a pair of red eyes glowed in the darkness.,fearful,1
"Walking down the desolate alleyway, her courage was her only guardian.",brave,0
A chill ran down his spine as he stepped into the rickety old mansion.,fearful,1
"Braving the elements, he set forth on a journey, challenging his fear of the wild.",brave,0
"The child's screams filled the night air, a horrific echo of his worst fears.",fearful,1
She befriended her fear of spiders by rescuing a tarantula from a nearby web.,brave,0
Every flicker of the candlelight seemed to spell out a horror story.,fearful,1
A sense of triumph overtook her as she conquered her fear of heights.,brave,0
"The cellar door creaked open, the darkness within inviting his worst fears.",fearful,1
"No longer afraid of them, she looked the wolves in the eye, asserting her presence.",brave,0
"As he descended the silent basement, an inexplicable dread gripped him.",fearful,1
"Despite her fear of water, she plunged into the pool, her courage rising.",brave,0
His palms felt clammy as a figure stepped out from the shadows.,fearful,1
"She felt strong and invincible as she won the wrestling match, overcoming her fear.",brave,0
His blood curdled at the sight of the ghostly figure before him.,fearful,1
"Summoning all her bravery, she delivered an impactful speech before the huge crowd.",brave,0
"A mysterious whisper floated around the room, sending fear-induced shivers down his spine.",fearful,1
"Determined, she faced her arachnophobia head-on, setting a bold example for others.",brave,0
"Staring at the ghostly apparition, he could feel an icy fear gripping his heart.",fearful,1
"She powerfully shattered the glass ceiling, vanquishing any trace of fear.",brave,0
He was paralyzed with fear as the car raced towards him.,fearful,1
Her courage was her shield as she rescued the victim from the burning building.,brave,0
His eerie dream seemed to come true as he stepped into the haunted forest.,fearful,1
"Her bravery radiated as she dived into the ocean, her fear of the deep forgotten.",brave,0
The gnashing teeth of the beast brought his worst nightmares to life.,fearful,1
"With courage replacing fear, she spoke up against the injustice meted out to her.",brave,0
The screech of the banshee left him trembling in fear.,fearful,1
"Adventuring through the wild jungles, she proved her fearlessness to the world.",brave,0
"The door slammed behind him, sealing his fate with an unnerving finality.",fearful,1
"She spoke confidently in the meeting, her fear of public speaking vanquished.",brave,0
"The darkness of the dense forest filled his heart with a deep, primitive fear.",fearful,1
"With an unfathomable bravery, he moved towards the lion, love conquering fear.",brave,0
The hollow sound of footsteps behind him caused an unfamiliar fear to rise within him.,fearful,1
"Undeterred by the turbulence, she piloted the plane with remarkable bravery.",brave,0
